Nom;Path;Resp;Appoint
Bâche cuve fen ~25m2;barrieres;barrieres;0
Pistolet à eau;matos->autres;matos;0
Corde à linge 20m;matos->autres;matos;0
Aspirateur (vieux avec ecocup au bout);matos->electromenager;matos;0
Canopée Scène Roots;matos->deco;scenes;0
Demi palette 0.6x0.8m;matos->manutention;matos;1
Assiette plastique;matos->cuisine;matos;0
Casserole moyenne;matos->cuisine;matos;0
Choppe en bois;matos->cuisine;matos;0
Couteau;matos->cuisine;matos;0
Couvercle marmitte petit;matos->cuisine;matos;0
Couvercle tupperware petit;matos->cuisine;matos;0
Couvercle tupperware petit;matos->cuisine;matos;0
Econome;matos->cuisine;matos;0
Ecumoir;matos->cuisine;matos;0
Eponges;matos->cuisine;matos;0
Fourchette;matos->cuisine;matos;0
Couteau coupant gros;matos->cuisine;matos;0
Fouet gros;matos->cuisine;matos;0
Cuillère grande;matos->cuisine;matos;0
Marmitte petite;matos->cuisine;matos;0
Moule muffin;matos->cuisine;matos;0
Couteau coupant moyen;matos->cuisine;matos;0
Paire de manique;matos->cuisine;matos;0
Passoire;matos->cuisine;matos;0
Couteau coupant petit;matos->cuisine;matos;0
Saladier petit;matos->cuisine;matos;0
Shaker petit;matos->cuisine;matos;0
Cuillère petite;matos->cuisine;matos;0
Marmitte petite;matos->cuisine;matos;0
Plat en verre;matos->cuisine;matos;0
Plateaux;matos->cuisine;matos;0
Poêle grande;matos->cuisine;matos;0
Poêle moyenne;matos->cuisine;matos;0
Saladier à fond plat;matos->cuisine;matos;0
Séchoir (vaiselle);matos->cuisine;matos;0
Tablier;matos->cuisine;matos;0
Tasse;matos->cuisine;matos;0
Théière jaune;matos->cuisine;matos;0
Torchon;matos->cuisine;matos;0
Tupperware petit;matos->cuisine;matos;0
Verre à shot;matos->cuisine;matos;0
Wok;matos->cuisine;matos;0
Appareil croque monsieur;matos->cuisine;matos;0
Assiette carton;matos->cuisine;matos;0
Coupelle tasse;matos->cuisine;matos;0
Assiette plastique;matos->cuisine;matos;0
Baguette chinoise;matos->cuisine;matos;0
Thermos 250mL;matos->cuisine;matos;0
Boite allumette (x240);matos->cuisine;matos;0
Bol alu;matos->cuisine;matos;0
Bougie;matos->cuisine;matos;0
Briquet fonctinnel;matos->cuisine;matos;0
Broche mergez;matos->cuisine;matos;0
Chinois;matos->cuisine;matos;0
Corbeille à fruit;matos->cuisine;matos;0
Coupe griffe;matos->cuisine;matos;0
Coupelle beurk;matos->cuisine;matos;0
Couteau à pain;matos->cuisine;matos;0
Couteau plastique (x100);matos->cuisine;matos;0
Cuillère a soupe plastique;matos->cuisine;matos;0
Cuillère bois jetable petite;matos->cuisine;matos;0
Cuillère bois grande;matos->cuisine;matos;0
Cuillère café plastique;matos->cuisine;matos;0
Cuillère salade;matos->cuisine;matos;0
Cure dent;matos->cuisine;matos;0
Ecrase ail;matos->cuisine;matos;0
Entonoir;matos->cuisine;matos;0
Essui verre;matos->cuisine;matos;0
Film plastique (rouleau);matos->cuisine;matos;0
Filtre café;matos->cuisine;matos;0
Fouet;matos->cuisine;matos;0
Fourchette bois jetable;matos->cuisine;matos;0
Fourchette plastique (x100);matos->cuisine;matos;0
Gaz chantilly;matos->cuisine;matos;0
Gobelet plastique;matos->cuisine;matos;0
Grand ecumoir;matos->cuisine;matos;0
Grand perco;matos->cuisine;matos;0
Gros couteau;matos->cuisine;matos;0
Grosse poele;matos->cuisine;matos;0
Hachoir;matos->cuisine;matos;0
Huile d'olive extra vierge (L);matos->bouffe;matos;0
Huile de tournesol (L);matos->bouffe;matos;0
Huile spécial pizza (cL);matos->bouffe;matos;0
Jus citron (L);matos->bouffe;matos;0
Machine à café;matos->cuisine;matos;0
Fouet grand;matos->cuisine;matos;0
Mixeur;matos->cuisine;matos;0
Nappe carrée;matos->cuisine;matos;0
Ouvre boite;matos->cuisine;matos;0
Panière à pain;matos->cuisine;matos;0
Panière à pain métal;matos->cuisine;matos;0
Ecumoir petit;matos->cuisine;matos;0
Fouet petit;matos->cuisine;matos;0
Rouleau à patisserie petit;matos->cuisine;matos;0
Wok petit;matos->cuisine;matos;0
Louche petite;matos->cuisine;matos;0
Poêle petite;matos->cuisine;matos;0
Pierre à éguiser;matos->cuisine;matos;0
Pince;matos->cuisine;matos;0
Pince à linge;matos->cuisine;matos;0
Pique brochette;matos->cuisine;matos;0
Planche à découper;matos->cuisine;matos;0
Plat rond en verre;matos->cuisine;matos;0
